Gene,Synonymous,HC LoF,ExACtool percentile,top expr tissue (3x more),office of rare diseases
TMEM8B,96,14,7.77E-01,,
COMMD3,39,14,7.77E-01,,
UGT2B17,54,12,7.77E-01,colon,
MYNN,68,10,7.77E-01,,
OR2M4,45,13,7.77E-01,,
OSGIN1,153,22,7.77E-01,,
CDCP1,124,16,7.77E-01,,
GRB14,71,15,7.77E-01,,
OR5D16,49,12,7.77E-01,,
EDDM3A,33,10,7.77E-01,,
SLC6A16,104,31,7.77E-01,,
SLC16A4,78,20,7.77E-01,,
CCDC91,60,14,7.77E-01,,
ZNF214,63,34,7.77E-01,,
TAS2R16,40,9,7.77E-01,,
ZNF486,71,32,7.78E-01,thyroid,
FBXO43,79,19,7.78E-01,,
SUGT1,46,9,7.78E-01,,
ZNF528,88,47,7.78E-01,,
RECK,116,17,7.78E-01,,
GLS2,106,21,7.78E-01,,
LILRA6,113,18,7.78E-01,whole_blood,
EPRS,184,29,7.78E-01,,
OR51B4,45,9,7.78E-01,,
GAS8,121,18,7.78E-01,,
C15orf48,12,10,7.78E-01,colon,
RAPGEF6,9,1,7.78E-01,,
MAPK12,85,15,7.78E-01,skeletal_muscle,
ZNF785,67,30,7.78E-01,,
SHROOM1,108,14,7.79E-01,,
TMEM132A,164,20,7.79E-01,,
OR4N5,36,7,7.79E-01,,
ZNF493,85,29,7.79E-01,,
JSRP1,71,20,7.79E-01,skeletal_muscle,
FABP2,19,9,7.79E-01,colon,
DEFB108B,9,6,7.79E-01,,
WDR34,125,28,7.79E-01,,
C10orf71,175,14,7.79E-01,skeletal_muscle,
C5orf22,54,12,7.79E-01,,
FLII,282,34,7.79E-01,,
TNK2,297,38,7.79E-01,,
PSORS1C2,14,7,7.79E-01,skin,
ZNF431,57,13,7.79E-01,,
IFI16,80,12,7.79E-01,,
TLR3,128,19,7.80E-01,,YES
CD300LF,70,14,7.80E-01,,
ASCC3,286,49,7.80E-01,,
OR11G2,45,11,7.80E-01,,
AMBN,67,12,7.80E-01,,
ZNF19,44,11,7.80E-01,,
ACPT,95,21,7.80E-01,,
STK31,140,17,7.80E-01,,
TMTC3,104,18,7.80E-01,,
ODF2,166,22,7.80E-01,,
TMEM150C,10,3,7.80E-01,adrenal_gland,
SOCS4,51,12,7.80E-01,,
NUDT7,50,16,7.80E-01,,
ARHGAP11B,11,7,7.80E-01,,
SPAG4,65,17,7.81E-01,,
IL3,29,14,7.81E-01,,
ANKRD53,86,13,7.81E-01,,
C12orf43,63,13,7.81E-01,,
SEC14L4,103,19,7.81E-01,liver,
GPX7,27,10,7.81E-01,,
LRRC45,108,21,7.81E-01,,
UTP23,39,11,7.81E-01,,
OTOP3,110,17,7.81E-01,,
IGFL2,23,11,7.81E-01,skin,
ZNF600,83,33,7.81E-01,,
GMFG,31,10,7.81E-01,,
VSIG8,26,6,7.81E-01,,
FAM71F2,50,10,7.81E-01,,
LUZP2,49,11,7.81E-01,,
ATM,380,105,7.82E-01,,
KLHL30,117,23,7.82E-01,skeletal_muscle,
C1orf131,40,12,7.82E-01,,
POLB,42,12,7.82E-01,,
SPERT,74,16,7.82E-01,,
PARVB,81,24,7.82E-01,,
PLXDC1,90,17,7.82E-01,,
OR9G4,58,12,7.82E-01,,
MYL12A,19,9,7.82E-01,,
FOXRED2,133,17,7.82E-01,,
OR4Q3,78,15,7.82E-01,,
KIAA1683,246,30,7.82E-01,,
PAEP,39,8,7.82E-01,,
CGN,164,45,7.82E-01,,
XPNPEP2,86,17,7.83E-01,,
DSG2,146,23,7.83E-01,,
ARHGAP24,105,13,7.83E-01,,
ZNF117,63,26,7.83E-01,,
HIST2H2BF,16,5,7.83E-01,,
TMEM223,10,9,7.83E-01,,
FKBP15,10,1,7.83E-01,,
SIRPD,13,4,7.83E-01,whole_blood,
RIMS2,218,27,7.83E-01,,
ATP5G2,38,9,7.83E-01,,
ENPP1,116,19,7.83E-01,,YES
ZFR2,8,1,7.83E-01,brain,
SKAP1,43,12,7.83E-01,,
CCDC28B,37,16,7.83E-01,,YES
DCXR,50,21,7.83E-01,liver,
FCER1A,37,10,7.84E-01,,
BTNL3,67,13,7.84E-01,colon,
MYEOV,57,12,7.84E-01,,
BIK,33,12,7.84E-01,,
NUDT6,51,11,7.84E-01,,
DHX33,140,21,7.84E-01,,
UAP1L1,78,16,7.84E-01,,
WDR59,204,27,7.84E-01,,
SELPLG,71,8,7.84E-01,whole_blood,
C1orf105,24,12,7.84E-01,heart,
OR52B2,40,10,7.84E-01,,
EIF4E3,17,6,7.84E-01,,
FAM98C,67,19,7.84E-01,,
ZNF880,64,29,7.84E-01,,
C17orf74,91,18,7.84E-01,,
HORMAD2,36,11,7.85E-01,,
ANKRD45,26,9,7.85E-01,brain,
RWDD3,6,2,7.85E-01,,
DNAJC27,31,10,7.85E-01,,
PI16,78,15,7.85E-01,,
KRTAP6-1,7,4,7.85E-01,,
CYP2A13,75,15,7.85E-01,,
CLEC9A,35,11,7.85E-01,,
TMTC1,128,18,7.85E-01,,
MERTK,147,32,7.85E-01,,
KIF14,177,35,7.85E-01,,
TMCC3,81,15,7.85E-01,,
STK17A,54,12,7.85E-01,,
LCMT1,67,15,7.85E-01,,
STX18,52,14,7.86E-01,,
TSPO2,31,12,7.86E-01,whole_blood,
HIRIP3,88,16,7.86E-01,,
CCT8L2,79,16,7.86E-01,,
SLC39A2,50,10,7.86E-01,skin,
HPX,76,13,7.86E-01,liver,
SFXN2,68,13,7.86E-01,,
TRAF3IP3,65,21,7.86E-01,,
CPA5,82,11,7.86E-01,,
GLI1,151,19,7.86E-01,nerve_tibial,
RUFY1,107,14,7.86E-01,,
KIF7,189,24,7.86E-01,,YES
OSBPL10,140,18,7.86E-01,,
CSF3R,166,22,7.86E-01,whole_blood,
ASB10,107,14,7.86E-01,,
NDRG4,95,13,7.87E-01,,
SEMA4D,195,26,7.87E-01,,
PON1,61,14,7.87E-01,liver,
MRPS28,42,11,7.87E-01,,
MYOZ3,67,16,7.87E-01,skeletal_muscle,
LCE3E,9,7,7.87E-01,skin,
RBM11,34,7,7.87E-01,,
SEC31A,175,20,7.87E-01,,
AADACL4,55,11,7.87E-01,adiposeVisceral,
CWF19L2,10,1,7.87E-01,,
OR4D5,51,11,7.87E-01,,
ZNF157,37,10,7.87E-01,,
RMI1,75,16,7.87E-01,,
HS1BP3,89,16,7.87E-01,,
TM6SF2,70,16,7.88E-01,liver,
OR8D4,42,9,7.88E-01,,
TNIP2,83,12,7.88E-01,,
TRIM16L,42,10,7.88E-01,,
ITGA10,143,39,7.88E-01,,
RSPH1,69,13,7.88E-01,,
AP4M1,131,36,7.88E-01,,
NMS,22,18,7.88E-01,,
AURKAIP1,47,8,7.88E-01,,
UBE2U,29,17,7.88E-01,,
MORN1,135,24,7.88E-01,,
BANF2,19,4,7.88E-01,pancreas,
PINK1,105,19,7.88E-01,,
VIPR1,80,20,7.88E-01,lung,
KRR1,50,12,7.88E-01,,
RAB28,39,13,7.89E-01,,
C2orf61,34,7,7.89E-01,,
SPNS3,159,23,7.89E-01,,
NDC80,81,16,7.89E-01,,
HORMAD1,38,10,7.89E-01,,
C2orf44,88,13,7.89E-01,,
OTUD3,46,13,7.89E-01,,
IARS2,112,16,7.89E-01,,
OR4M2,67,12,7.89E-01,,
CMTM5,39,8,7.89E-01,,
OR5V1,39,11,7.89E-01,,
ENAM,161,22,7.89E-01,,
CCDC153,17,5,7.89E-01,,
PIWIL4,121,20,7.89E-01,,
C12orf50,59,11,7.90E-01,,
GNB5,79,12,7.90E-01,,
HCLS1,94,15,7.90E-01,,
PGM2,76,31,7.90E-01,,
C11orf49,107,21,7.90E-01,,
TYW3,28,6,7.90E-01,,
PDIA5,103,18,7.90E-01,,
SNX7,58,9,7.90E-01,,
COMMD7,25,12,7.90E-01,,
MTHFD1,156,23,7.90E-01,,
SYT5,65,15,7.90E-01,brain,
LRRC49,89,16,7.90E-01,,
SMUG1,34,14,7.90E-01,,
HSPBAP1,68,16,7.90E-01,,
NME7,44,14,7.90E-01,,
SHKBP1,163,25,7.91E-01,,
C15orf60,41,13,7.91E-01,,
MCCD1,14,9,7.91E-01,,
CHRDL2,114,19,7.91E-01,,
LCN6,37,11,7.91E-01,,
IFNA13,1,5,7.91E-01,,
CDKL1,37,11,7.91E-01,,
ZNF429,81,42,7.91E-01,,
CNTF,29,8,7.91E-01,,
FTL,33,7,7.91E-01,,YES
TM7SF3,82,18,7.91E-01,,
LRTM1,65,17,7.91E-01,spleen,
TACR3,58,10,7.91E-01,brain,
PCDH12,190,27,7.91E-01,,
FBXO4,45,12,7.92E-01,,
LRPPRC,205,26,7.92E-01,,YES
C2orf40,26,10,7.92E-01,,
GPX8,18,11,7.92E-01,,
C20orf85,31,10,7.92E-01,,
CD68,62,10,7.92E-01,,
MRPL35,26,5,7.92E-01,,
TRMT5,80,15,7.92E-01,,
LY86,24,10,7.92E-01,,
SGSM3,191,26,7.92E-01,,
APOBEC3D,53,16,7.92E-01,spleen,
CSN3,27,8,7.92E-01,,
TFCP2,60,12,7.92E-01,,
NOL11,105,17,7.92E-01,,
NMRAL1,73,16,7.92E-01,,
NUP210,370,43,7.93E-01,spleen,
PHOSPHO2,21,9,7.93E-01,,
GRB7,108,15,7.93E-01,,
SLCO1B3,13,2,7.93E-01,liver,YES
AMDHD1,66,16,7.93E-01,liver,
NFX1,146,18,7.93E-01,,
C3orf33,11,8,7.93E-01,,
ANKFN1,120,19,7.93E-01,,
TMEM79,105,20,7.93E-01,skin,
SLC38A11,56,13,7.93E-01,,
RAB5C,12,4,7.93E-01,,
ATRIP,124,17,7.93E-01,,
FAM83C,131,19,7.93E-01,skin,
MS4A2,31,12,7.93E-01,,
ARHGAP15,74,16,7.94E-01,,
SYNPO2L,123,18,7.94E-01,,
SCFD2,102,23,7.94E-01,,
ACOT12,74,23,7.94E-01,liver,
DTX3L,94,17,7.94E-01,,
LIFR,150,22,7.94E-01,,YES
IFNA17,22,6,7.94E-01,,
ACOT6,27,9,7.94E-01,,
IP6K2,70,8,7.94E-01,,
CARS,160,20,7.94E-01,,
PSTPIP1,119,16,7.94E-01,,YES
PGM3,68,15,7.94E-01,,
DMP1,70,10,7.94E-01,,
SNX25,115,18,7.94E-01,,
DDC,91,13,7.94E-01,,
C3orf62,29,12,7.95E-01,,
FABP5,7,3,7.95E-01,,
ST6GAL2,88,12,7.95E-01,,
SPHK2,153,25,7.95E-01,,
ZNF420,74,19,7.95E-01,,
C1orf111,45,12,7.95E-01,,
CA1,35,12,7.95E-01,colon,
GPR141,47,12,7.95E-01,whole_blood,
OR1E1,35,9,7.95E-01,,
TMX4,35,10,7.95E-01,,
C1orf210,19,6,7.95E-01,,
TAS2R3,50,15,7.95E-01,,
FRZB,35,9,7.95E-01,,
ACPP,77,14,7.95E-01,,
NIF3L1,56,17,7.96E-01,,
NBR1,91,14,7.96E-01,,
FNDC8,59,14,7.96E-01,,
TREML4,36,11,7.96E-01,,
FBXO47,43,9,7.96E-01,,
FUZ,65,11,7.96E-01,,
LRRC31,74,19,7.96E-01,colon,
TAS2R4,33,9,7.96E-01,,
LYPD3,48,13,7.96E-01,skin,
VIL1,150,22,7.96E-01,colon,
EIF2AK1,110,18,7.96E-01,,
C4orf22,36,11,7.96E-01,,
OR51G1,56,13,7.96E-01,,
KRTAP27-1,31,11,7.96E-01,,
ULBP1,42,11,7.96E-01,,
MVP,191,24,7.97E-01,,
IDE,125,17,7.97E-01,,
TBC1D23,96,17,7.97E-01,,
OR2H1,38,9,7.97E-01,,
PPIC,30,10,7.97E-01,,
CYP4Z1,43,17,7.97E-01,,
FAM118B,44,11,7.97E-01,,
C11orf1,25,20,7.97E-01,,
PLEKHH1,210,30,7.97E-01,thyroid,
QRSL1,77,15,7.97E-01,,
ROPN1L,38,13,7.97E-01,whole_blood,
TRPM7,238,42,7.97E-01,,YES
ZNF175,83,25,7.97E-01,,
TRPM2,370,60,7.97E-01,,
SIGLEC9,81,14,7.98E-01,,
ZNF14,83,33,7.98E-01,,
LMBR1,89,21,7.98E-01,,YES
KHNYN,97,18,7.98E-01,,
C16orf3,20,7,7.98E-01,,
RNF25,69,12,7.98E-01,,
LY6G6F,40,12,7.98E-01,,
NAA20,30,8,7.98E-01,,
ZNF132,98,23,7.98E-01,,
TMEM209,16,3,7.98E-01,,
SHISA3,40,13,7.98E-01,,
CDH19,114,32,7.98E-01,nerve_tibial,
LSS,153,19,7.98E-01,,
PDK1,64,13,7.98E-01,,
SLC30A9,77,16,7.98E-01,,
CSGALNACT1,126,17,7.99E-01,,
LIPK,53,19,7.99E-01,,
ARHGEF10,319,39,7.99E-01,,
CDHR2,286,34,7.99E-01,,
TBCD,255,25,7.99E-01,,
KIF18A,101,17,7.99E-01,,
KRTAP5-1,47,10,7.99E-01,,
PNPLA5,77,13,7.99E-01,brain,
PTTG2,22,11,7.99E-01,,
OR2B3,32,10,7.99E-01,,
OPTC,64,13,7.99E-01,,
THEM5,31,14,7.99E-01,skin,
ME3,123,17,7.99E-01,,
OR14J1,35,11,7.99E-01,,
MRPS30,81,16,8.00E-01,,
PADI2,149,23,8.00E-01,,
KIF22,108,23,8.00E-01,,YES
OR6X1,44,11,8.00E-01,,
SLMO1,37,11,8.00E-01,,
TIPIN,41,10,8.00E-01,,
C9orf129,13,7,8.00E-01,brain,
KRTAP1-1,23,9,8.00E-01,,
TMEM175,138,21,8.00E-01,,
CTAG2,33,7,8.00E-01,,
TOR1AIP1,87,16,8.00E-01,,
C12orf52,48,14,8.00E-01,,
DYDC2,20,9,8.00E-01,,
GYS1,151,21,8.00E-01,,
LSP1,79,11,8.00E-01,,
PI15,43,11,8.01E-01,,
PLCD4,107,30,8.01E-01,skeletal_muscle,
KLRK1,24,17,8.01E-01,,
AUH,44,12,8.01E-01,,
ATXN3L,29,12,8.01E-01,,
CENPE,313,40,8.01E-01,,
LYPD5,30,12,8.01E-01,,
DEPDC4,49,15,8.01E-01,,
STRADA,72,12,8.01E-01,,
ZKSCAN5,121,18,8.01E-01,,
FBXO40,111,19,8.01E-01,,
OR13D1,40,9,8.01E-01,,
PDK4,57,14,8.01E-01,skeletal_muscle,
PHLDB2,191,23,8.01E-01,,
TRIM40,34,13,8.02E-01,colon,
ETV7,65,13,8.02E-01,,
CRTAM,67,15,8.02E-01,,
ODF4,36,11,8.02E-01,,
DDIT4L,26,10,8.02E-01,skeletal_muscle,
DBH,145,21,8.02E-01,liver,YES
LIMCH1,166,20,8.02E-01,,
SLC38A10,271,34,8.02E-01,,
PLCE1,308,36,8.02E-01,,
SUSD5,70,9,8.02E-01,,
KIAA1324L,116,16,8.02E-01,,
ZNF584,88,20,8.02E-01,,
LUZP4,33,12,8.02E-01,,
REG1B,33,11,8.02E-01,pancreas,
PNMA5,40,6,8.02E-01,brain,
HIP1R,209,29,8.03E-01,,
RHOT2,235,34,8.03E-01,,
PRAMEF12,90,16,8.03E-01,,
DFNB59,37,15,8.03E-01,,
CDC20,70,15,8.03E-01,,
PLEKHG5,198,24,8.03E-01,,
CST7,30,14,8.03E-01,whole_blood,
KLRB1,24,12,8.03E-01,,
ACSL6,115,16,8.03E-01,brain,
TRUB1,53,13,8.03E-01,,
EDEM3,106,17,8.03E-01,,
PGM1,114,16,8.03E-01,skeletal_muscle,
WDR6,179,26,8.03E-01,,
ZNF782,76,23,8.03E-01,,
FAM133B,2,2,8.04E-01,,
LPO,96,26,8.04E-01,,
PCDHA5,160,21,8.04E-01,,
TTLL1,95,18,8.04E-01,,
OR2B2,37,11,8.04E-01,,
UBASH3A,136,18,8.04E-01,,
IFNA10,23,7,8.04E-01,,
PSTK,54,16,8.04E-01,,
MFSD1,93,26,8.04E-01,,
CLPB,142,23,8.04E-01,,
SYF2,33,8,8.04E-01,,
OR6C4,53,13,8.04E-01,,
ZNF667,88,16,8.04E-01,,
C15orf57,19,5,8.04E-01,,
OR7D4,53,12,8.04E-01,,
PIGZ,130,23,8.05E-01,colon,
OR5P2,55,13,8.05E-01,,
OR51I1,53,11,8.05E-01,,
PCDHA6,171,23,8.05E-01,,
LMBR1L,99,23,8.05E-01,,
SEPT12,104,19,8.05E-01,brain,
ZNF92,55,17,8.05E-01,,
ANKLE2,174,29,8.05E-01,,
ETV2,49,11,8.05E-01,,
OR8B3,30,8,8.05E-01,,
TMEM177,50,8,8.05E-01,,
CYSLTR2,43,8,8.05E-01,,
RTN4,143,18,8.05E-01,,
ALPK3,296,37,8.05E-01,,
BEND7,70,11,8.06E-01,,
TAAR2,51,14,8.06E-01,,
COMMD10,35,12,8.06E-01,,
WDFY2,65,17,8.06E-01,,
FRAS1,620,80,8.06E-01,,
DNAJC9,22,8,8.06E-01,,
RILPL1,4,2,8.06E-01,,
NUMB,86,12,8.06E-01,,
OCEL1,86,20,8.06E-01,,
ERI1,56,14,8.06E-01,,
OR8D1,36,9,8.06E-01,,
OR6C76,52,15,8.06E-01,,
ARMC6,111,24,8.06E-01,,
PLIN3,105,18,8.06E-01,,
SPTA1,361,42,8.06E-01,,
MMP17,134,21,8.07E-01,,
OR5T2,55,12,8.07E-01,,
COX4I2,23,11,8.07E-01,,
CCDC122,24,17,8.07E-01,,
TIAM2,307,37,8.07E-01,,
CCR5,66,14,8.07E-01,,
OR4A47,58,12,8.07E-01,,
ZNF446,118,23,8.07E-01,,
IL1A,31,9,8.07E-01,,
TMEM8A,206,31,8.07E-01,,
OR5K3,48,12,8.07E-01,,
FAM173B,47,18,8.07E-01,,
TAS2R60,51,14,8.07E-01,,
OR8H2,44,9,8.07E-01,,
MEA1,20,10,8.08E-01,,
TIGD3,68,18,8.08E-01,,
ARHGEF16,128,22,8.08E-01,,
TCN2,104,15,8.08E-01,,
TMED1,27,10,8.08E-01,,
MLPH,129,19,8.08E-01,,YES
DAND5,35,15,8.08E-01,heart,
CMTM2,33,13,8.08E-01,whole_blood,
SLC22A15,74,14,8.08E-01,,
DSCC1,33,12,8.08E-01,,
RSPH3,88,15,8.08E-01,,
C12orf29,44,19,8.08E-01,,
CCR3,62,9,8.08E-01,whole_blood,
SGMS2,60,10,8.08E-01,,
CRYBB3,37,16,8.08E-01,,
OCIAD2,15,6,8.09E-01,,
DYNC2LI1,61,12,8.09E-01,,
IFNA8,26,10,8.09E-01,,
UIMC1,100,17,8.09E-01,,
CLECL1,23,10,8.09E-01,spleen,
SORBS1,225,27,8.09E-01,,
SFT2D2,21,11,8.09E-01,,
MYCBPAP,144,20,8.09E-01,,
LGALS14,26,7,8.09E-01,,
AIFM2,69,13,8.09E-01,,
EHBP1L1,192,35,8.09E-01,,
LRSAM1,136,18,8.09E-01,,
OR2L2,52,11,8.09E-01,,
ECHDC2,50,21,8.09E-01,,
CPSF3L,203,34,8.10E-01,,
TMEM99,40,17,8.10E-01,,
RIPK3,96,17,8.10E-01,,
UROC1,142,19,8.10E-01,liver,
GLYCTK,117,20,8.10E-01,liver,
ZNF674,22,14,8.10E-01,,
KANK1,320,40,8.10E-01,,
OR51D1,60,15,8.10E-01,,
OR6C65,45,14,8.10E-01,,
OR5L2,58,12,8.10E-01,,
DPY19L3,108,15,8.10E-01,,
GPRASP1,88,12,8.10E-01,,
C6orf25,60,15,8.10E-01,,
PSKH2,54,14,8.10E-01,,
IFNE,27,12,8.10E-01,,
RTN4IP1,63,15,8.11E-01,,
HOOK1,78,15,8.11E-01,,
ESD,34,11,8.11E-01,,
MRPL22,45,13,8.11E-01,,
NBN,102,37,8.11E-01,,YES
CEACAM3,53,12,8.11E-01,whole_blood,
HUS1,37,11,8.11E-01,,
KIAA1033,135,21,8.11E-01,,
SLC9A8,100,19,8.11E-01,,
ANO4,114,19,8.11E-01,,
NCOA7,117,16,8.11E-01,,
TDG,42,11,8.11E-01,,
DHX29,165,24,8.11E-01,,
CDHR5,247,39,8.11E-01,,
SNX5,63,11,8.12E-01,,
SPANXN2,22,11,8.12E-01,,
RNASE6,27,12,8.12E-01,,
ASGR1,47,13,8.12E-01,liver,
KRTAP5-9,22,7,8.12E-01,,
PDCD1LG2,40,12,8.12E-01,,
DGAT1,120,28,8.12E-01,,
PCDHB6,122,19,8.12E-01,,
ZNF79,87,17,8.12E-01,,
ATP1B4,40,8,8.12E-01,skeletal_muscle,
FAAH,99,17,8.12E-01,,
RHBDL2,32,14,8.12E-01,,
SLC22A14,104,25,8.12E-01,,
GLOD4,104,21,8.12E-01,,
CDKN3,24,6,8.12E-01,,
PLA2G4F,181,25,8.13E-01,,
KLHDC7A,129,28,8.13E-01,,
C5orf20,41,8,8.13E-01,,
SLC1A7,112,18,8.13E-01,,
MCM4,142,19,8.13E-01,,
OR3A3,17,6,8.13E-01,,
FAM151B,28,10,8.13E-01,,
UBXN6,119,17,8.13E-01,,
CHP2,32,11,8.13E-01,colon,
C17orf47,83,17,8.13E-01,,
LXN,28,11,8.13E-01,,
MRPL46,46,15,8.13E-01,,
RTP4,31,12,8.13E-01,,
HPS1,127,18,8.13E-01,,
NDUFV2,29,14,8.14E-01,,YES
SNX4,63,17,8.14E-01,,
SPP2,37,11,8.14E-01,,
SLC22A8,82,18,8.14E-01,,
PAAF1,67,18,8.14E-01,,
ZNF836,108,21,8.14E-01,,
SNX20,43,9,8.14E-01,,
LTA4H,81,18,8.14E-01,,
TACR2,68,12,8.14E-01,,
ESF1,100,16,8.14E-01,,
AARS2,148,30,8.14E-01,,
C22orf43,35,14,8.14E-01,,
QSOX1,108,15,8.14E-01,,
UGGT1,193,26,8.14E-01,,
NEDD1,89,12,8.14E-01,,
METTL4,76,17,8.15E-01,,
WFDC1,32,11,8.15E-01,artery_coronary,
MTERFD2,73,17,8.15E-01,,
MRPL44,47,12,8.15E-01,,
LRWD1,161,26,8.15E-01,,
DNAJC15,22,10,8.15E-01,,
MTHFD1L,140,21,8.15E-01,,
OR9Q2,63,16,8.15E-01,,
ELN,163,21,8.15E-01,,YES
NPM2,26,11,8.15E-01,,
DNAJA4,83,13,8.15E-01,,
DYNC1I1,84,13,8.15E-01,brain,
WDR3,126,28,8.15E-01,,
KLF11,103,15,8.15E-01,,YES
ZNF454,60,14,8.16E-01,,
ACSM5,105,23,8.16E-01,liver,
NAPSA,76,17,8.16E-01,lung,
EPN3,177,29,8.16E-01,stomach,
PSMG1,37,7,8.16E-01,,
NECAB2,108,18,8.16E-01,brain,
KRTAP5-2,30,16,8.16E-01,,
NAT2,39,8,8.16E-01,liver,
TIRAP,45,9,8.16E-01,,
ATP6V0D2,57,18,8.16E-01,,
PDE6C,130,22,8.16E-01,,
PRG3,32,10,8.16E-01,,
IMP4,58,12,8.16E-01,,
SYT12,87,13,8.16E-01,,
RRP8,101,19,8.16E-01,,
MOXD1,103,22,8.17E-01,,
VPS16,142,19,8.17E-01,,
ADAM30,116,21,8.17E-01,,
PTGR2,33,18,8.17E-01,,
PIWIL2,143,19,8.17E-01,,
NOS3,219,28,8.17E-01,spleen,
S100A4,17,8,8.17E-01,,
CENPQ,30,18,8.17E-01,,
NQO2,44,11,8.17E-01,,
S100A13,13,3,8.17E-01,,
ZNF23,79,21,8.17E-01,,
MTFMT,10,2,8.17E-01,,
REP15,28,14,8.17E-01,,
TBPL2,58,14,8.17E-01,,
DAK,100,18,8.17E-01,adrenal_gland,
DNAJB2,53,11,8.18E-01,,
MR1,53,17,8.18E-01,,
ZNF416,77,17,8.18E-01,,
RHPN1,122,19,8.18E-01,,
TMEM144,53,16,8.18E-01,,
UFSP2,60,24,8.18E-01,,
DPH1,100,26,8.18E-01,,
CALCOCO2,52,16,8.18E-01,,
FANCE,76,15,8.18E-01,,YES
OR12D3,37,11,8.18E-01,,
HAO1,47,11,8.18E-01,liver,
ATP4B,58,14,8.18E-01,stomach,
ZNF138,39,20,8.18E-01,,
ADAMTSL3,243,34,8.18E-01,,
KANK4,161,24,8.19E-01,nerve_tibial,
TMC1,94,22,8.19E-01,,
RIMS1,211,22,8.19E-01,brain,
PCM1,318,27,8.19E-01,,YES
AADAC,58,13,8.19E-01,,
CLEC12A,34,11,8.19E-01,,
BTBD1,65,14,8.19E-01,,
NAGK,75,17,8.19E-01,,
C19orf18,32,15,8.19E-01,,
FBXO39,56,12,8.19E-01,,
NME6,35,13,8.19E-01,,
ELOVL2,44,14,8.19E-01,,
GPR142,92,18,8.19E-01,,
OR4L1,56,13,8.19E-01,,
GTF3C3,90,20,8.19E-01,,
TTLL9,89,21,8.20E-01,,
FBXW9,99,26,8.20E-01,,
WDR4,87,13,8.20E-01,,
APOA1BP,72,22,8.20E-01,,
LMAN2L,67,13,8.20E-01,,
GABPB2,52,13,8.20E-01,,
C16orf78,37,11,8.20E-01,,
RSPH6A,147,23,8.20E-01,thyroid,
TOP2B,8,1,8.20E-01,,
LCN1,32,11,8.20E-01,,
SYT8,145,26,8.20E-01,,
NCR3,37,7,8.20E-01,,
CST11,23,7,8.20E-01,,
SLITRK6,127,25,8.20E-01,,
TTC39A,24,3,8.21E-01,,
PDCL3,35,10,8.21E-01,,
GYPC,27,6,8.21E-01,whole_blood,
NUFIP1,72,15,8.21E-01,,
SPATA19,22,11,8.21E-01,,
ANKRD1,41,12,8.21E-01,heart,
CDK5RAP3,107,24,8.21E-01,,
FAM109B,42,14,8.21E-01,,
ELF5,44,8,8.21E-01,lung,
GLO1,23,13,8.21E-01,,
SPHK1,95,15,8.21E-01,,
CR1L,81,34,8.21E-01,,
AGTR1,45,9,8.21E-01,,
NT5DC1,61,14,8.21E-01,,
P4HA3,77,17,8.21E-01,,
HAPLN3,99,19,8.22E-01,,
ACP6,60,16,8.22E-01,,
SHMT2,92,13,8.22E-01,,
GGT5,138,19,8.22E-01,,
LRRC48,93,9,8.22E-01,thyroid,
PNPLA6,264,40,8.22E-01,,YES
ACE,339,43,8.22E-01,,
VPS33B,97,24,8.22E-01,,YES
SLC43A1,114,21,8.22E-01,,
DHX34,227,31,8.22E-01,,
C1orf127,124,20,8.22E-01,,
ULK2,142,19,8.22E-01,,
ACBD4,94,18,8.22E-01,,
PIWIL1,138,24,8.22E-01,,
CD3G,21,8,8.23E-01,,
VWCE,152,31,8.23E-01,,
GART,137,18,8.23E-01,,
OTOP2,109,22,8.23E-01,colon,
C8G,56,18,8.23E-01,liver,
ZNF562,37,6,8.23E-01,,
OR1S2,59,12,8.23E-01,,
PIGK,45,13,8.23E-01,,
DISC1,158,21,8.23E-01,,
MGMT,44,14,8.23E-01,,
ICAM4,51,11,8.23E-01,,
ZNF765,73,27,8.23E-01,,
SLC4A1AP,112,26,8.23E-01,,
PON2,59,11,8.23E-01,,
SKA3,57,11,8.23E-01,,
GYLTL1B,162,27,8.24E-01,,
ALDH8A1,84,16,8.24E-01,liver,
TM4SF20,27,10,8.24E-01,colon,
CYP2F1,85,17,8.24E-01,lung,
GHRHR,101,19,8.24E-01,,YES
OR52K1,68,16,8.24E-01,,
OR7E24,38,9,8.24E-01,,
ZNF136,48,17,8.24E-01,,
GLP2R,90,16,8.24E-01,,
SHISA5,58,16,8.24E-01,,
OR8K5,40,10,8.24E-01,,
PROM2,171,23,8.24E-01,,
SLC35D2,45,15,8.24E-01,,
RBKS,40,18,8.24E-01,,
CHID1,85,12,8.25E-01,,
OR9A2,37,11,8.25E-01,,
ZNF616,102,19,8.25E-01,,
NDUFA6,31,10,8.25E-01,,
CPA1,73,15,8.25E-01,pancreas,
CASP14,45,10,8.25E-01,skin,
RAP1GDS1,62,10,8.25E-01,,
PCSK5,306,42,8.25E-01,,
TAS2R41,45,17,8.25E-01,,
GGT6,92,16,8.25E-01,,
CNPY4,37,24,8.25E-01,,
SIGLEC8,88,17,8.25E-01,spleen,
ADAMTS18,265,39,8.25E-01,,
OR2D3,50,13,8.25E-01,,
OR5T1,47,12,8.25E-01,,
CWH43,118,33,8.26E-01,,
